6608	1101	-1112
7107	11159	10663
7334	11009	9839
7135	11794	9180
6614	11988	8151
6088	12714	7163
4593	12719	5887
2879	12174	3416
3376	11331	2716
3079	11732	3087
-1761	15761	8192
-5946	16347	13504
-10175	13864	17662
-10175	13864	17662
-12363	9492	17991
-14655	4994	14492
-14106	2362	10251
-13109	-1542	8439
-10522	-5076	8398
-5840	-7764	5681
-1835	-7222	1852
2135	-5661	-823
7940	-3072	40
10017	16	2346
10814	3208	4693
10904	6061	6751
10904	6061	6751
3598	12950	5063
-3020	15311	4940
-8514	14776	6710
-14801	9486	10375
-15453	2906	11404
-12400	-1670	13751
-4898	-4837	15727
5813	-7962	10086
9311	-6224	7328
10119	-3624	8522
10055	-2195	10086
4717	-2740	16509
4717	-2740	16509
-4456	-6132	17250
-10310	-5127	10210
-10400	3949	2222
-6795	10081	40
102	10719	-906
4850	7614	-1729
9446	-2720	1975
8276	-6443	8481
4103	-7256	13174
-1915	-9219	11816
-6218	-7948	8851
-10357	-4343	6669
-12568	-394	5846
-12568	-394	5846
-10391	1040	1687
-6525	-942	-823
-2954	-3490	-2512
1430	-5595	-1770
5478	-6694	40
7851	-6266	1605
8388	-6524	4116
8639	-6159	7945
8848	-5433	9057
10173	-4383	7492
11325	-4041	5969
10703	-2018	2428
10703	-2018	2428
8661	-659	205
4286	2007	-1894
-6328	5937	-206
-12029	5923	3375
-15212	1965	7287
-12757	-3537	10045
-3827	-7552	13380
4208	-7363	12063
9574	-5367	8892
11540	-3060	4816
7382	2283	-906
-954	8235	-412
-954	8235	-412
-8920	11321	3705
-16211	5099	9057
-13750	-62	14204
-6925	-3282	17456
-452	-7119	14451
6492	-6661	11733
8397	-5408	10498
9657	-4904	10127
9360	-2981	12310
7524	-1801	14080
4422	-2545	17580
-3584	-2825	19968
-11885	-2152	14245
-11885	-2152	14245
-12810	640	7081
-4579	7147	-1153
4853	2048	-2717
8711	-3351	864
9066	-4937	5763
6601	-7094	9880
2926	-8930	10786
-2340	-9012	13215
-6534	-6309	16015
-11530	-1767	16880
-12593	-1620	15068
-12593	-1620	15068
-12188	-3275	12268
-6417	-8317	8398
-1076	-9650	6051
3392	-9767	4363
5588	-8331	5969
5280	-3609	14615
5972	3555	16797
6191	8711	15274
7479	11425	10292
-857	9697	287
-8137	-898	987
-13402	-2126	8892
-13414	8840	7616
-13414	8840	7616
-9185	10375	2963
-3996	15063	4363
1723	15055	10333
8711	6274	12886
10701	3022	9428
10184	6176	7904
3670	12818	12968
-2548	14824	15603
-8778	14573	15274
-13729	9721	15850
-13125	-133	9633
-4323	-1245	-2223
-4323	-1245	-2223
-565	10224	822
-1837	13538	3581
473	11432	1440
1741	6183	-947
1062	2988	-2264
-3108	6256	-1070
-6986	11662	2963
-10551	15155	9839
-10696	13980	17250
-4240	3982	20709
890	1263	19391
3506	4730	19062
3506	4730	19062
947	11032	18074
-4032	12903	18403
-8565	12265	19350
-11691	10189	18938
-11649	7120	19885
-8172	4832	20668
-3913	1022	20421
-1169	26	19927
100	889	20215
1146	-664	19268
2939	-3907	17168
4631	-7973	12639
-488	-8340	14286
-488	-8340	14286
-5736	-5665	16674
-12318	-109	17086
-13706	10208	14862
-8167	15970	10910
-937	15271	4981
7263	9962	5928
7690	8766	10086
5590	5535	15892
3134	-687	18362
-4436	-8390	14533
-10553	-4830	12886
-14644	988	13174
-14644	988	13174
-15200	7272	12351
-10153	13579	7204
-5586	13461	3416
75	10981	534
6174	7662	1152
8884	5667	3540
10689	3528	5928
10899	495	6545
9831	-4687	3993
6604	-2726	-412
-373	6226	-1235
-12427	14888	12557
-12427	14888	12557
-15186	6728	16427
-14524	-191	11404
-10114	-5404	7904
-1214	-9776	7451
3561	-9409	9469
8479	-5767	9839
10852	-318	9922
8453	8327	10292
2687	11625	15315
-5064	9648	21203
-12982	4013	18527
-14790	4196	14821
-15210	1134	12927
-15210	1134	12927
-12760	-2020	16015
-2911	-6467	15151
3749	-6135	14615
8726	-4024	11816
9415	-5287	5146
-844	-9623	11692
-9830	6955	19762
-10958	11750	7369
-6963	-4859	2264
145	-5620	-865
4103	5619	-1688
4207	12502	8357
4207	12502	8357
10009	2672	12474
10771	-2089	4652
10610	2895	2716
103	6229	-1482
-7330	-589	328
-12848	-2504	7081
-14844	4742	11280
-11309	6678	3334
-5711	1894	-947
43	-267	-2347
6518	1822	-1606
8805	2806	1440
8805	2806	1440
10731	1828	4446
10842	87	5351
9954	-3596	3705
7751	-3379	452
3007	3136	-1976
-4316	14611	5022
-13947	8623	18980
-12883	-1405	15727
-7849	-7295	11651
1546	-7020	13421
4702	-2932	15192
