-16	110	-242
-17	107	-243
-26	109	-241
-28	110	-244
-36	102	-241
-34	96	-237
-38	98	-236
-51	94	-232
-60	90	-228
-72	85	-228
-79	80	-223
-81	76	-218
-89	63	-219
-86	62	-208
-96	59	-212
-88	53	-199
-91	47	-207
-88	46	-204
-87	45	-210
-82	43	-210
-88	42	-216
-82	41	-217
-74	35	-220
-72	35	-220
-70	36	-222
-75	31	-226
-69	33	-218
-81	30	-216
-81	37	-218
-84	34	-214
-80	38	-212
-89	45	-210
-90	42	-206
-87	27	-210
-84	15	-205
-79	19	-199
-84	22	-198
-81	35	-206
-69	37	-216
-46	44	-230
-16	44	-249
8	49	-254
40	46	-254
61	44	-249
88	36	-238
87	33	-237
83	29	-238
56	23	-244
20	15	-241
8	5	-232
-1	-5	-229
15	-27	-220
47	-52	-201
87	-75	-141
112	-50	-40
92	50	59
30	98	67
17	39	58
24	12	61
-1	2	50
-10	13	50
-11	10	49
2	20	52
22	39	53
58	52	52
98	65	37
148	66	4
177	46	-36
191	30	-81
168	-6	-108
132	-49	-99
91	-73	-117
30	-65	-178
-23	-45	-192
-55	-43	-165
-65	-54	-141
-67	-59	-117
-60	-61	-103
-62	-59	-93
-75	-51	-97
-89	-37	-109
-101	-8	-109
-109	5	-120
-124	18	-111
-124	18	-111
-123	12	-122
-108	15	-145
-91	-1	-169
-68	-28	-186
-33	-40	-198
-9	-50	-201
31	-43	-211
58	-28	-214
84	-2	-220
95	15	-231
89	42	-235
87	69	-237
81	104	-236
63	128	-228
51	155	-214
40	179	-199
31	197	-177
26	204	-139
23	218	-116
16	218	-90
11	207	-63
-17	207	-70
-40	200	-73
-60	174	-57
-79	156	-38
-83	124	-40
-89	109	-30
-105	93	-25
-94	77	2
-65	71	27
-15	70	52
49	74	58
106	100	35
140	149	0
147	169	-79
148	150	-142
156	94	-163
156	58	-172
151	28	-180
145	-2	-168
145	-27	-127
132	-42	-92
110	-64	-76
75	-77	-48
31	-70	-14
-9	-52	5
-69	-25	-21
-94	-12	-61
-98	-10	-116
-89	-5	-150
-89	11	-171
-108	36	-152
-125	51	-127
-127	92	-79
-106	119	-28
-52	139	11
13	141	21
78	143	11
134	141	-20
170	133	-74
168	128	-120
139	141	-164
68	163	-201
-17	150	-214
-74	112	-199
-105	88	-174
-123	80	-144
-120	71	-120
-121	54	-102
-121	57	-85
-124	47	-80
-117	61	-85
-120	74	-100
-117	95	-118
-108	123	-128
-95	147	-139
-75	175	-135
-50	193	-133
-29	207	-142
-17	207	-150
-18	199	-170
0	191	-195
4	173	-212
13	155	-226
25	145	-229
40	142	-235
45	124	-242
76	114	-234
109	107	-214
143	104	-188
161	112	-151
163	122	-110
160	118	-63
147	87	-9
118	9	14
66	-57	5
13	-44	14
-18	-11	27
-63	-8	4
-88	-9	-28
-94	-17	-70
-95	-18	-105
-90	-20	-132
-95	-16	-144
-94	-8	-142
-108	0	-126
-130	17	-86
-126	36	-49
-101	43	-15
-69	46	17
-19	45	35
32	57	57
87	60	37
122	77	21
154	71	-7
176	68	-37
183	50	-85
184	51	-139
142	74	-194
92	86	-224
29	80	-235
-21	65	-232
-67	62	-216
-99	51	-189
-110	45	-169
-113	44	-153
-108	59	-157
-111	67	-156
-108	84	-166
-103	104	-159
-103	132	-145
-97	156	-134
-97	160	-115
-95	158	-105
-99	156	-108
-101	164	-102
-84	175	-111
-52	200	-111
-17	218	-87
24	213	-52
68	208	-36
97	189	-39
118	180	-44
121	174	-45
122	168	-34
102	141	11
60	114	45
-3	77	55
-57	88	21
-79	110	-19
-102	106	-69
-104	69	-158
-77	38	-202
-55	42	-218
-22	27	-241
-9	17	-244
-4	0	-235
-29	-12	-210
-65	-16	-180
-98	-14	-135
-113	3	-76
-101	27	-18
-65	58	20
-18	122	32
24	160	25
78	148	21
125	136	2
155	136	-34
162	152	-85
160	155	-114
151	140	-132
163	119	-144
167	88	-150
175	53	-124
171	18	-75
134	-8	-18
80	-34	20
24	-4	39
-16	46	56
-89	61	-3
-112	25	-58
-108	0	-82
-90	-18	-105
-81	-41	-122
-79	-50	-108
-72	-52	-98
-75	-44	-68
-73	-28	-32
-70	-3	4
-52	25	28
-17	61	52
9	116	43
30	157	31
61	188	8
81	189	-13
95	182	-18
120	166	-22
145	138	-19
154	115	-16
161	106	-21
151	106	-4
120	111	23
67	104	55
3	126	46
-70	134	-13
-110	104	-32
-120	83	-55
-118	65	-91
-116	46	-122
-119	27	-130
-115	13	-126
-119	4	-102
-113	5	-57
-99	7	-9
-73	34	21
-1	70	55
52	110	39
109	148	14
149	158	-36
163	138	-72
171	109	-92
180	79	-99
182	69	-103
177	46	-100
182	37	-98
176	27	-97
174	18	-87
168	10	-86
165	0	-72
156	-4	-45
138	12	-2
114	37	46
70	44	63
37	27	71
3	-2	61
-30	-18	29
-40	-51	-8
-34	-61	-36
-17	-76	-44
2	-76	-34
18	-71	-15
55	-56	4
98	-41	-4
126	-27	-26
151	-32	-52
