-8800	6197	-13820
1495	-13390	4231
-325	-16744	5071
-2377	-18550	6001
-3997	-17891	6753
-4897	-16617	8832
-8500	-11953	10115
-10043	-7965	9186
-10987	-7155	9142
-11402	-3596	8744
-11402	-3596	8744
-9971	-486	7682
-7730	393	7726
-3079	-1421	6576
3378	-8710	4275
3640	-11990	-635
650	-16450	-3998
-6990	-17357	-4617
-18318	-16984	1886
-19880	-7881	2726
-18774	1285	1311
-11538	12935	1089
-4971	8151	3700
1348	-1605	4452
1348	-1605	4452
4661	-11054	470
-4303	-18205	-4352
-14922	-18250	-901
-20023	-4102	-1078
-13273	13530	-1387
-4587	17523	-2670
-587	18716	-7803
-9439	12212	-10989
-2070	-19167	-724
-2415	-15846	6399
7681	-1294	-3246
7313	2645	-8555
-906	16191	-11210
-906	16191	-11210
-11029	16196	-3467
-18631	2364	2240
-16938	-9186	-5148
-11552	-14026	-6387
-4610	-20106	-1564
790	-15271	2726
708	-2681	6045
-5768	4173	6532
-13012	3153	6487
-19850	-3042	4054
-18363	-8489	-1918
-15397	855	-8953
-8895	14981	-12847
-8895	14981	-12847
-3787	19565	-8157
-1625	13909	-724
-4193	1222	6178
-2919	-10377	7992
1196	-5036	5824
4310	-935	1620
6428	-2659	-3821
-1340	-19885	3125
-8210	-18526	9540
-13606	-9872	9717
-17606	-3204	5647
-16604	9235	-3909
-8846	17358	-11608
-8846	17358	-11608
-26	15459	-14395
4897	-3752	-3600
-506	-10892	6974
-5818	4284	6133
-13455	13582	-2670
-14808	2137	-10104
-14261	-4566	-8688
-19217	-4417	-3909
-20958	-4051	426
-17754	-1817	4541
-7667	10026	2948
7090	2576	-8644
7090	2576	-8644
3525	-6092	-7670
-2470	-20603	-1210
-6223	-10542	-9130
-7397	8308	-13820
-10383	17878	-8334
-14483	10749	1443
-14414	-13727	8478
-9362	-22803	5602
-4017	-21056	3877
-4382	-19035	8080
-7925	-12305	10115
-12919	-6379	8965
-18293	-8855	7239
-18293	-8855	7239
-16162	-15037	-1741
-7109	-17247	-4927
-878	-17824	4231
-2422	-17993	6443
-8152	-23298	5779
-12871	-22317	3434
-14235	-21025	4187
-14956	-16109	7682
-13895	-13446	8567
-10608	-12639	8700
-3370	-15891	7151
-265	-18437	-2759
6934	-1239	-7493
6934	-1239	-7493
-865	-6343	6222
2159	-9105	-8732
4373	9299	-11564
-1988	18029	-9130
-7913	17243	-8157
-16990	2254	-8245
-15138	-11533	-5989
-5733	-15292	-6476
6557	-4644	-5369
7159	6622	-5900
3563	14229	-9130
-2968	16066	-12360
-11129	14146	-10856
-11129	14146	-10856
-14390	9417	-9794
-15145	1924	-9927
-11802	-6733	-9838
-4317	-17216	-4617
1644	-16143	-3246
5473	-8441	-5635
